"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","label","correctAnswer","correct"
"29189","32","text","0","29197","0.0-0.0","c5ha5","","","",""
"15884","70","single-stim","1","46096","0.0-1.0","c5ha5","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","","",""
"7102","32","text","2","54201","0.0-2.0","c5ha5","","","",""
"18750","32","text","3","73953","0.0-3.0","c5ha5","","","",""
"7172","32","text","4","82127","0.0-4.0","c5ha5","","","",""
"10435","32","text","5","93562","0.0-5.0","c5ha5","","","",""
"8485","32","text","6","103047","0.0-6.0","c5ha5","","","",""
"7961","32","text","7","112010","0.0-7.0","c5ha5","","","",""
"2002","32","text","8","115015","0.0-8.0","c5ha5","","","",""
"9255","74","single-stim","9","125273","0.0-9.0","c5ha5","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1","74","true"
"6165","74","single-stim","10","132440","0.0-10.0","c5ha5","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2","74","true"
"5286","70","single-stim","11","138731","0.0-11.0","c5ha5","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1","70","true"
"6939","70","single-stim","12","146672","0.0-12.0","c5ha5","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2","74","false"
"9377","70","single-stim","13","157050","0.0-13.0","c5ha5","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target","",""
"-1","-1","single-stim","14","158054","0.0-14.0","c5ha5"," ","","",""
