"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","label","correctAnswer","correct"
"104194","32","text","0","104208","0.0-0.0","M2vUX","","","",""
"29812","74","single-stim","1","135021","0.0-1.0","M2vUX","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","","",""
"22624","32","text","2","158653","0.0-2.0","M2vUX","","","",""
"24021","32","text","3","183683","0.0-3.0","M2vUX","","","",""
"37614","32","text","4","222308","0.0-4.0","M2vUX","","","",""
"20121","32","text","5","243439","0.0-5.0","M2vUX","","","",""
"9181","32","text","6","253634","0.0-6.0","M2vUX","","","",""
"9838","32","text","7","264479","0.0-7.0","M2vUX","","","",""
"10509","32","text","8","276000","0.0-8.0","M2vUX","","","",""
"23220","70","single-stim","9","300221","0.0-9.0","M2vUX","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1","70","true"
"8163","74","single-stim","10","309394","0.0-10.0","M2vUX","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1","74","true"
"21534","74","single-stim","11","331933","0.0-11.0","M2vUX","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2","74","true"
"10351","70","single-stim","12","343294","0.0-12.0","M2vUX","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2","74","false"
"29766","70","single-stim","13","374064","0.0-13.0","M2vUX","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target","",""
"-1","-1","single-stim","14","375080","0.0-14.0","M2vUX"," ","","",""
