"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","label","correctAnswer","correct"
"6007","32","text","0","6011","0.0-0.0","xgfuA","","","",""
"32562","70","single-stim","1","39578","0.0-1.0","xgfuA","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","","",""
"14278","32","text","2","54857","0.0-2.0","xgfuA","","","",""
"26582","32","text","3","82441","0.0-3.0","xgfuA","","","",""
"16646","32","text","4","100089","0.0-4.0","xgfuA","","","",""
"9127","32","text","5","110218","0.0-5.0","xgfuA","","","",""
"6577","32","text","6","117969","0.0-6.0","xgfuA","","","",""
"6959","32","text","7","125929","0.0-7.0","xgfuA","","","",""
"6350","32","text","8","133280","0.0-8.0","xgfuA","","","",""
"55728","70","single-stim","9","190011","0.0-9.0","xgfuA","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2","74","false"
"14629","70","single-stim","10","205642","0.0-10.0","xgfuA","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1","70","true"
"16901","74","single-stim","11","223545","0.0-11.0","xgfuA","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2","74","true"
"12814","74","single-stim","12","237360","0.0-12.0","xgfuA","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1","74","true"
"22023","70","single-stim","13","260384","0.0-13.0","xgfuA","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target","",""
"-1","-1","single-stim","14","261390","0.0-14.0","xgfuA"," ","","",""
