"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","label","correctAnswer","correct"
"32764","32","text","0","32771","0.0-0.0","jNjIw","","","",""
"23656","70","single-stim","1","57433","0.0-1.0","jNjIw","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","","",""
"9122","32","text","2","67557","0.0-2.0","jNjIw","","","",""
"14654","32","text","3","83212","0.0-3.0","jNjIw","","","",""
"6482","32","text","4","90695","0.0-4.0","jNjIw","","","",""
"10973","32","text","5","102668","0.0-5.0","jNjIw","","","",""
"9840","32","text","6","113508","0.0-6.0","jNjIw","","","",""
"12758","32","text","7","127267","0.0-7.0","jNjIw","","","",""
"1248","32","text","8","129516","0.0-8.0","jNjIw","","","",""
"13937","74","single-stim","9","144456","0.0-9.0","jNjIw","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2","74","true"
"13613","74","single-stim","10","159072","0.0-10.0","jNjIw","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2","74","true"
"13992","70","single-stim","11","174065","0.0-11.0","jNjIw","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1","70","true"
"11568","74","single-stim","12","186636","0.0-12.0","jNjIw","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1","74","true"
"7930","70","single-stim","13","195569","0.0-13.0","jNjIw","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target","",""
"-1","-1","single-stim","14","196572","0.0-14.0","jNjIw"," ","","",""
