"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","label","correctAnswer","correct"
"15881","32","text","0","15897","0.0-0.0","WKBXg","","","",""
"171675","70","single-stim","1","188600","0.0-1.0","WKBXg","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","","",""
"3169","32","text","2","192772","0.0-2.0","WKBXg","","","",""
"3570","32","text","3","197345","0.0-3.0","WKBXg","","","",""
"3624","32","text","4","201970","0.0-4.0","WKBXg","","","",""
"8390","32","text","5","211366","0.0-5.0","WKBXg","","","",""
"3846","32","text","6","216213","0.0-6.0","WKBXg","","","",""
"10620","32","text","7","227838","0.0-7.0","WKBXg","","","",""
"3483","32","text","8","232322","0.0-8.0","WKBXg","","","",""
"12786","74","single-stim","9","246114","0.0-9.0","WKBXg","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2","74","true"
"5646","74","single-stim","10","252769","0.0-10.0","WKBXg","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1","74","true"
"4089","70","single-stim","11","257861","0.0-11.0","WKBXg","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1","70","true"
"10682","74","single-stim","12","269545","0.0-12.0","WKBXg","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2","74","true"
"6367","70","single-stim","13","276917","0.0-13.0","WKBXg","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target","",""
"-1","-1","single-stim","14","277921","0.0-14.0","WKBXg"," ","","",""
