"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","label","correctAnswer","correct"
"2944","32","text","0","2955","0.0-0.0","fbvWB","","","",""
"17026","70","single-stim","1","20994","0.0-1.0","fbvWB","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","","",""
"1722","32","text","2","23718","0.0-2.0","fbvWB","","","",""
"6152","32","text","3","30871","0.0-3.0","fbvWB","","","",""
"9438","32","text","4","41310","0.0-4.0","fbvWB","","","",""
"6590","32","text","5","48900","0.0-5.0","fbvWB","","","",""
"5393","32","text","6","55294","0.0-6.0","fbvWB","","","",""
"14961","32","text","7","71256","0.0-7.0","fbvWB","","","",""
"2580","32","text","8","74836","0.0-8.0","fbvWB","","","",""
"7890","74","single-stim","9","83728","0.0-9.0","fbvWB","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1","74","true"
"9079","74","single-stim","10","93811","0.0-10.0","fbvWB","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2","74","true"
"10310","70","single-stim","11","105121","0.0-11.0","fbvWB","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1","70","true"
"8743","70","single-stim","12","114865","0.0-12.0","fbvWB","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2","74","false"
"10237","70","single-stim","13","126103","0.0-13.0","fbvWB","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target","",""
"-1","-1","single-stim","14","127105","0.0-14.0","fbvWB"," ","","",""
