"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","label","correctAnswer","correct"
"109288","32","text","0","109308","0.0-0.0","AwPdr","","","",""
"21591","70","single-stim","1","131912","0.0-1.0","AwPdr","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","","",""
"7052","32","text","2","139972","0.0-2.0","AwPdr","","","",""
"11379","32","text","3","152361","0.0-3.0","AwPdr","","","",""
"7843","32","text","4","161215","0.0-4.0","AwPdr","","","",""
"9371","32","text","5","171602","0.0-5.0","AwPdr","","","",""
"3603","32","text","6","176218","0.0-6.0","AwPdr","","","",""
"8546","32","text","7","185774","0.0-7.0","AwPdr","","","",""
"7700","32","text","8","194480","0.0-8.0","AwPdr","","","",""
"8276","74","single-stim","9","203766","0.0-9.0","AwPdr","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2","74","true"
"18260","74","single-stim","10","223042","0.0-10.0","AwPdr","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1","70","false"
"15395","74","single-stim","11","239452","0.0-11.0","AwPdr","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2","74","true"
"7526","74","single-stim","12","247987","0.0-12.0","AwPdr","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1","74","true"
"8942","74","single-stim","13","257956","0.0-13.0","AwPdr","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target","",""
"-1","-1","single-stim","14","258964","0.0-14.0","AwPdr"," ","","",""
