"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","label","correctAnswer","correct"
"76935","32","text","0","76938","0.0-0.0","wY5Oa","","","",""
"525659","74","single-stim","1","603606","0.0-1.0","wY5Oa","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","","",""
"8457","32","text","2","613064","0.0-2.0","wY5Oa","","","",""
"15408","32","text","3","629475","0.0-3.0","wY5Oa","","","",""
"13195","32","text","4","643676","0.0-4.0","wY5Oa","","","",""
"10321","32","text","5","655001","0.0-5.0","wY5Oa","","","",""
"3952","32","text","6","659958","0.0-6.0","wY5Oa","","","",""
"21248","32","text","7","682208","0.0-7.0","wY5Oa","","","",""
"17974","32","text","8","701184","0.0-8.0","wY5Oa","","","",""
"19756","70","single-stim","9","721943","0.0-9.0","wY5Oa","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1","70","true"
"5640","74","single-stim","10","728588","0.0-10.0","wY5Oa","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1","74","true"
"8608","74","single-stim","11","738201","0.0-11.0","wY5Oa","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2","74","true"
"10500","74","single-stim","12","749704","0.0-12.0","wY5Oa","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2","74","true"
"8147","70","single-stim","13","758856","0.0-13.0","wY5Oa","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target","",""
"-1","-1","single-stim","14","759863","0.0-14.0","wY5Oa"," ","","",""
