"","itemid","condition","cresp","experiment","item","question","question.acc","question.cresp","question.resp","question.rt","sentence","slide_1.resp","slide_1.rt","subject","trial","trial_abort","roi","FFD","FFP","SFD","FPRT","RBRT","TFT","RPD","CRPD","RRT","RRTP","RRTR","RBRC","TRC","LPRT","word","group","spill0len","spill1len","spill2len","spill","NPsubj","NPobj","logTFT","logFPRT","logRPD","wlen"
"2","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","11501","Abigail wrote each essay with minimal effort using several helpful books.","Y",208,"32","34","0","10",198,1,198,198,198,198,734,6069,0,0,0,1,1,198,"helpful ","1",4,3,4,"2","name","universal",5.28826703069454,5.28826703069454,6.59850902861452,7
"4","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","11501","Abigail wrote each essay with minimal effort using several helpful books.","Y",208,"32","34","0","3",87,1,0,87,574,574,3093,3093,487,487,0,1,1,487,"each ","1",4,3,4,"0","name","universal",6.35262939631957,4.46590811865458,8.03689677268507,4
"5","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","11501","Abigail wrote each essay with minimal effort using several helpful books.","Y",208,"32","34","0","4",533,1,0,533,533,732,533,3626,199,0,199,0,0,199,"essay ","1",4,3,4,"0","name","universal",6.59578051396131,6.27852142416584,6.27852142416584,5
"6","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","11501","Abigail wrote each essay with minimal effort using several helpful books.","Y",208,"32","34","0","5",287,1,287,287,287,287,287,3913,0,0,0,0,0,287,"with ","1",4,3,4,"1","name","universal",5.65948221575962,5.65948221575962,5.65948221575962,4
"7","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","11501","Abigail wrote each essay with minimal effort using several helpful books.","Y",208,"32","34","0","6",270,1,270,270,270,270,270,4183,0,0,0,0,0,270,"minimal ","1",4,3,4,"1","name","universal",5.59842195899838,5.59842195899838,5.59842195899838,7
"8","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","11501","Abigail wrote each essay with minimal effort using several helpful books.","Y",208,"32","34","0","7",303,1,303,303,303,303,303,4486,0,0,0,0,0,303,"effort ","1",4,3,4,"1","name","universal",5.71373280550937,5.71373280550937,5.71373280550937,6
"9","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","11501","Abigail wrote each essay with minimal effort using several helpful books.","Y",208,"32","34","0","8",487,1,487,487,487,487,487,4973,0,0,0,0,0,487,"using ","1",4,3,4,"2","name","universal",6.18826412308259,6.18826412308259,6.18826412308259,5
"10","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","11501","Abigail wrote each essay with minimal effort using several helpful books.","Y",208,"32","34","0","9",138,1,0,362,362,362,362,5335,0,0,0,0,0,362,"several ","1",4,3,4,"2","name","universal",5.89164421182577,5.89164421182577,5.89164421182577,7
"11","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","13923961","Abigail wrote each essay with minimal effort using several helpful books.","Y",146,"28","110","0","1",397,1,0,397,397,1853,397,397,1456,0,1456,0,0,1456,"Abigail ","1",4,3,4,"9","name","universal",7.52456122628536,5.98393628068719,5.98393628068719,7
"12","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","13923961","Abigail wrote each essay with minimal effort using several helpful books.","Y",146,"28","110","0","10",229,1,0,229,416,627,582,3744,398,187,211,1,2,211,"helpful ","1",4,3,4,"2","name","universal",6.44094654063292,5.43372200355424,6.36647044773144,7
"13","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","13923961","Abigail wrote each essay with minimal effort using several helpful books.","Y",146,"28","110","0","11",169,1,169,169,169,169,511,4255,0,0,0,1,1,169,"books. ","1",4,3,4,"2","name","universal",5.12989871492307,5.12989871492307,6.2363695902037,6
"14","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","13923961","Abigail wrote each essay with minimal effort using several helpful books.","Y",146,"28","110","0","2",182,1,0,182,443,443,1899,2296,261,261,0,1,1,261,"wrote ","1",4,3,4,"9","name","universal",6.09356977004514,5.2040066870768,7.54908271081229,5
"15","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","13923961","Abigail wrote each essay with minimal effort using several helpful books.","Y",146,"28","110","0","3",206,1,206,206,206,206,206,2502,0,0,0,0,0,206,"each ","1",4,3,4,"0","name","universal",5.32787616878958,5.32787616878958,5.32787616878958,4
"16","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","13923961","Abigail wrote each essay with minimal effort using several helpful books.","Y",146,"28","110","0","4",121,1,121,121,121,121,121,2623,0,0,0,0,0,121,"essay ","1",4,3,4,"0","name","universal",4.79579054559674,4.79579054559674,4.79579054559674,5
"17","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","13923961","Abigail wrote each essay with minimal effort using several helpful books.","Y",146,"28","110","0","5",281,1,281,281,281,281,281,2904,0,0,0,0,0,281,"with ","1",4,3,4,"1","name","universal",5.63835466933375,5.63835466933375,5.63835466933375,4
"18","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","13923961","Abigail wrote each essay with minimal effort using several helpful books.","Y",146,"28","110","0","7",141,1,141,141,141,141,141,3045,0,0,0,0,0,141,"effort ","1",4,3,4,"1","name","universal",4.94875989037817,4.94875989037817,4.94875989037817,6
"19","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","13923961","Abigail wrote each essay with minimal effort using several helpful books.","Y",146,"28","110","0","8",117,1,117,117,117,117,117,3162,0,0,0,0,0,117,"using ","1",4,3,4,"2","name","universal",4.76217393479776,4.76217393479776,4.76217393479776,5
"21","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","1706319","Abigail wrote each essay with minimal effort using several helpful books.","Y",250,"16","99","0","1",141,1,0,1224,1224,1224,1224,1224,0,0,0,0,0,1224,"Abigail ","1",4,3,4,"9","name","universal",7.10987946307227,7.10987946307227,7.10987946307227,7
"22","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","1706319","Abigail wrote each essay with minimal effort using several helpful books.","Y",250,"16","99","0","10",275,1,275,275,275,275,275,2906,0,0,0,0,0,275,"helpful ","1",4,3,4,"2","name","universal",5.61677109766657,5.61677109766657,5.61677109766657,7
"24","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","1706319","Abigail wrote each essay with minimal effort using several helpful books.","Y",250,"16","99","0","3",151,1,0,151,151,482,225,1449,331,0,331,1,1,331,"each ","1",4,3,4,"0","name","universal",6.1779441140506,5.01727983681492,5.41610040220442,4
"25","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","1706319","Abigail wrote each essay with minimal effort using several helpful books.","Y",250,"16","99","0","4",44,1,44,44,44,44,44,1493,0,0,0,0,0,44,"essay ","1",4,3,4,"0","name","universal",3.78418963391826,3.78418963391826,3.78418963391826,5
"26","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","1706319","Abigail wrote each essay with minimal effort using several helpful books.","Y",250,"16","99","0","5",99,1,0,99,267,267,598,2091,168,168,0,1,1,168,"with ","1",4,3,4,"1","name","universal",5.58724865840025,4.59511985013459,6.39359075395063,4
"27","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","1706319","Abigail wrote each essay with minimal effort using several helpful books.","Y",250,"16","99","0","6",160,1,160,160,160,160,160,2251,0,0,0,0,0,160,"minimal ","1",4,3,4,"1","name","universal",5.07517381523383,5.07517381523383,5.07517381523383,7
"28","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","1706319","Abigail wrote each essay with minimal effort using several helpful books.","Y",250,"16","99","0","7",97,1,97,97,97,97,97,2348,0,0,0,0,0,97,"effort ","1",4,3,4,"1","name","universal",4.57471097850338,4.57471097850338,4.57471097850338,6
"29","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","1706319","Abigail wrote each essay with minimal effort using several helpful books.","Y",250,"16","99","0","9",138,1,0,283,283,283,283,2631,0,0,0,0,0,283,"several ","1",4,3,4,"2","name","universal",5.64544689764324,5.64544689764324,5.64544689764324,7
"30","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","2576113","Abigail wrote each essay with minimal effort using several helpful books.","Y",550,"24","5","0","1",113,1,0,1055,1055,1055,1055,1055,0,0,0,0,0,1055,"Abigail ","1",4,3,4,"9","name","universal",6.96129604591017,6.96129604591017,6.96129604591017,7
"32","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","2576113","Abigail wrote each essay with minimal effort using several helpful books.","Y",550,"24","5","0","11",162,1,0,162,266,266,1901,4581,104,104,0,2,2,104,"books. ","1",4,3,4,"2","name","universal",5.5834963087817,5.08759633523238,7.55013534248843,6
