"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","label","correctAnswer","correct"
"11251","32","text","0","11255","0.0-0.0","RT7Fv","","","",""
"36764","70","single-stim","1","49032","0.0-1.0","RT7Fv","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","","",""
"13238","32","text","2","63273","0.0-2.0","RT7Fv","","","",""
"12329","32","text","3","76602","0.0-3.0","RT7Fv","","","",""
"16297","32","text","4","93899","0.0-4.0","RT7Fv","","","",""
"18896","32","text","5","113797","0.0-5.0","RT7Fv","","","",""
"4995","32","text","6","119792","0.0-6.0","RT7Fv","","","",""
"13866","32","text","7","134658","0.0-7.0","RT7Fv","","","",""
"25149","32","text","8","160808","0.0-8.0","RT7Fv","","","",""
"29254","70","single-stim","9","191065","0.0-9.0","RT7Fv","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1","70","true"
"8042","74","single-stim","10","200108","0.0-10.0","RT7Fv","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1","74","true"
"11851","74","single-stim","11","212961","0.0-11.0","RT7Fv","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2","74","true"
"15751","74","single-stim","12","229714","0.0-12.0","RT7Fv","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2","74","true"
"11743","70","single-stim","13","242459","0.0-13.0","RT7Fv","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target","",""
"-1","-1","single-stim","14","243463","0.0-14.0","RT7Fv"," ","","",""
