"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","label","correctAnswer","correct"
"7140","32","text","0","7149","0.0-0.0","71ROp","","","",""
"5104","70","single-stim","1","13263","0.0-1.0","71ROp","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","","",""
"4118","32","text","2","18384","0.0-2.0","71ROp","","","",""
"3582","32","text","3","22968","0.0-3.0","71ROp","","","",""
"2260","32","text","4","26229","0.0-4.0","71ROp","","","",""
"2542","32","text","5","29772","0.0-5.0","71ROp","","","",""
"4006","32","text","6","34779","0.0-6.0","71ROp","","","",""
"3199","32","text","7","38980","0.0-7.0","71ROp","","","",""
"8491","32","text","8","48471","0.0-8.0","71ROp","","","",""
"10168","74","single-stim","9","59641","0.0-9.0","71ROp","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2","74","true"
"12103","74","single-stim","10","72747","0.0-10.0","71ROp","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1","74","true"
"10044","70","single-stim","11","83793","0.0-11.0","71ROp","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1","70","true"
"5017","70","single-stim","12","89811","0.0-12.0","71ROp","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2","74","false"
"5260","70","single-stim","13","96073","0.0-13.0","71ROp","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target","",""
"-1","-1","single-stim","14","97080","0.0-14.0","71ROp"," ","","",""
