subject,trial_index,trial_type,list,responses,subject,trial_index,trial_type,list,Type,Sentence,Response,item,cond,repeatability,IlluBare,quantifier,ellipsis,additive,Fill1,Fill2
1K8Se,193,survey-text,8,"{""Q0"":""No not really, I think I have an aptitude for this, but might be proven wrong. "",""Q1"":""no"",""Q2"":""no""}",1K8Se,193,survey-text,8,,,,,,,,,,,,
3qjBZ,193,survey-text,3,"{""Q0"":"""",""Q1"":"""",""Q2"":""""}",3qjBZ,193,survey-text,3,,,,,,,,,,,,
3xIX0,193,survey-text,4,"{""Q0"":""no"",""Q1"":""no"",""Q2"":""no""}",3xIX0,193,survey-text,4,,,,,,,,,,,,
5WXBP,193,survey-text,2,"{""Q0"":""yes, I thought it was going to be easy but I found some that had me stumped or confused. "",""Q1"":""The sentences worded like grads have more diplomas as Alice does confused me"",""Q2"":""No everything ran smoothly""}",5WXBP,193,survey-text,2,,,,,,,,,,,,
66r6p,193,survey-text,2,"{""Q0"":""A little challenging. I sometimes got caught deciding if things were comparable."",""Q1"":""The fewer or more than sentences, comparing a group to an individual."",""Q2"":""No""}",66r6p,193,survey-text,2,,,,,,,,,,,,
6b9O4,193,survey-text,4,"{""Q0"":""It wasn't really particularly challenging, but some sentences were pretty strange!"",""Q1"":""Hmmm, the ones that ended with things like \""than do\"" were odd."",""Q2"":""Thank you very much!  I hope you find my work to be useful!""}",6b9O4,193,survey-text,4,,,,,,,,,,,,
6cxtk,193,survey-text,1,"{""Q0"":""A little bit. I always felt that if I didn't read it clearly then I would go back an examine it to see if it made sense. "",""Q1"":""I always felt the \""more than\"" when it was comparing a group to a person where a little tricky."",""Q2"":""Enjoyed it! Best of lucky on your research.""}",6cxtk,193,survey-text,1,,,,,,,,,,,,
6RSSR,193,survey-text,2,"{""Q0"":""Not really sentences was easy"",""Q1"":""none"",""Q2"":""great survey""}",6RSSR,193,survey-text,2,,,,,,,,,,,,
8BW2o,193,survey-text,5,"{""Q0"":""I don't think so"",""Q1"":""No"",""Q2"":""No""}",8BW2o,193,survey-text,5,,,,,,,,,,,,
A9A3V,193,survey-text,1,"{""Q0"":""Yes. Sometimes the sentences could be confusing."",""Q1"":""no"",""Q2"":""no""}",A9A3V,193,survey-text,1,,,,,,,,,,,,
ab3ho,193,survey-text,1,"{""Q0"":"""",""Q1"":"""",""Q2"":""""}",ab3ho,193,survey-text,1,,,,,,,,,,,,
AeDFU,193,survey-text,2,"{""Q0"":"""",""Q1"":"""",""Q2"":""""}",AeDFU,193,survey-text,2,,,,,,,,,,,,
aeIXw,193,survey-text,3,"{""Q0"":""It was fairly easy, I just relied on my best judgment and intuition"",""Q1"":""The ones like \""More people did ____ than John did _____ \"" I noticed the most and were most challenging to rate"",""Q2"":""Everything worked fine, thanks!""}",aeIXw,193,survey-text,3,,,,,,,,,,,,
AJE6J,193,survey-text,8,"{""Q0"":""For a few of the nonsensical sentences it was a bit challenging. "",""Q1"":""The sentences with a plural compared to a singular subject."",""Q2"":""Everything worked well, and the survey loaded quickly.""}",AJE6J,193,survey-text,8,,,,,,,,,,,,
BDqkL,193,survey-text,7,"{""Q0"":""Some of the phrases seemed to be potentially good or bad"",""Q1"":""The ones comparing a group to and individual"",""Q2"":""Nope""}",BDqkL,193,survey-text,7,,,,,,,,,,,,
cjNui,193,survey-text,4,"{""Q0"":""Yes it felt kind of hard at times when reading them."",""Q1"":""No."",""Q2"":""No Comments.""}",cjNui,193,survey-text,4,,,,,,,,,,,,
Epqsa,193,survey-text,7,"{""Q0"":""Not at all."",""Q1"":""Not really."",""Q2"":""No.""}",Epqsa,193,survey-text,7,,,,,,,,,,,,
FtZRx,193,survey-text,8,"{""Q0"":""A bit. It was difficult for me to gauge how much the sentences were supposed to make sense in comparison to sentences that were outright poor English."",""Q1"":""No."",""Q2"":""No.""}",FtZRx,193,survey-text,8,,,,,,,,,,,,
iP5mf,193,survey-text,2,"{""Q0"":""Some of the sentences were challenging, It really depended on the context."",""Q1"":""Not really, I was too busy paying attention to how each one was written."",""Q2"":""Thank You""}",iP5mf,193,survey-text,2,,,,,,,,,,,,
IpDqK,193,survey-text,1,"{""Q0"":""Yes I did I guess I don't remember much of what I learned in school"",""Q1"":""Not really I just tried to read each one and see how it sounded to me"",""Q2"":""Nope""}",IpDqK,193,survey-text,1,,,,,,,,,,,,
jIb4w,193,survey-text,7,"{""Q0"":""I am appalled by much of the syntax and grammar I hear around me, and hear things I think are wrong in my every day life. I think it might have increased my tolerance for garbled syntax. "",""Q1"":""Yes, but I cannot remember the details of the type that did stand out. "",""Q2"":""no, thank you. ""}",jIb4w,193,survey-text,7,,,,,,,,,,,,
KmcGS,193,survey-text,2,"{""Q0"":""Some of the sentences were challenging in the sense that I wasn't sure at first if they made sense or if I was reading or interpreting them incorrectly."",""Q1"":""One type of sentence seemed to be repeated frequently that compared the number of people from one group to one individual. "",""Q2"":""""}",KmcGS,193,survey-text,2,,,,,,,,,,,,
KpIOc,193,survey-text,7,"{""Q0"":""Somewhat.  I got used to it because many sentences had the same structure."",""Q1"":""No"",""Q2"":""No""}",KpIOc,193,survey-text,7,,,,,,,,,,,,
kVAid,193,survey-text,6,"{""Q0"":""I didn't, but I can see how it would've been if I had allowed myself to start over-thinking it."",""Q1"":""There were some that seemed like two different sentences were spliced together, they stood out like a sore thumb."",""Q2"":""I was surprised by how little I had to think...most of the answers came intuitively. ""}",kVAid,193,survey-text,6,,,,,,,,,,,,
LRiLb,193,survey-text,4,"{""Q0"":""A little, some sentences were hard to rate."",""Q1"":""The ones that said something about a group of people doing less stuff than a particular person. Those were confusing."",""Q2"":""Thank you much!""}",LRiLb,193,survey-text,4,,,,,,,,,,,,
M0a2l,193,survey-text,5,"{""Q0"":""It wasn't too bad. I had to pay attention to a few sentences more than others."",""Q1"":""The sentences that say something like, \""More of this than this.\"" Many of them were confusing."",""Q2"":""Thanks for letting me take your survey!""}",M0a2l,193,survey-text,5,,,,,,,,,,,,
m2a3O,193,survey-text,6,"{""Q0"":""yes, mostly because as a native English speaker they just did not read correctly"",""Q1"":""when there were comparisons that were like \""more people went to rome than sarah did\""... to me that makes no sense to say but I still put that it was comprehensible. "",""Q2"":""no""}",m2a3O,193,survey-text,6,,,,,,,,,,,,
MDbye,193,survey-text,7,"{""Q0"":""It was challenging because sometimes I had to reread, just for added clarification. It was a good challenge, not a confusing one."",""Q1"":""No."",""Q2"":""Nope.""}",MDbye,193,survey-text,7,,,,,,,,,,,,
