"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","label","correctAnswer","correct"
"8881","32","text","0","8890","0.0-0.0","8xTd7","","","",""
"29153","70","single-stim","1","39062","0.0-1.0","8xTd7","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","","",""
"8951","32","text","2","49015","0.0-2.0","8xTd7","","","",""
"15350","32","text","3","65367","0.0-3.0","8xTd7","","","",""
"5971","32","text","4","72339","0.0-4.0","8xTd7","","","",""
"3681","32","text","5","77021","0.0-5.0","8xTd7","","","",""
"3988","32","text","6","82009","0.0-6.0","8xTd7","","","",""
"5495","32","text","7","88506","0.0-7.0","8xTd7","","","",""
"4489","32","text","8","93996","0.0-8.0","8xTd7","","","",""
"11827","74","single-stim","9","106827","0.0-9.0","8xTd7","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1","74","true"
"11981","70","single-stim","10","119812","0.0-10.0","8xTd7","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1","70","true"
"6091","70","single-stim","11","126905","0.0-11.0","8xTd7","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2","74","false"
"12709","74","single-stim","12","140616","0.0-12.0","8xTd7","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2","74","true"
"13939","70","single-stim","13","155557","0.0-13.0","8xTd7","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target","",""
"-1","-1","single-stim","14","156562","0.0-14.0","8xTd7"," ","","",""
