"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","label","correctAnswer","correct"
"25578","32","text","0","25587","0.0-0.0","qu3ca","","","",""
"21207","74","single-stim","1","47809","0.0-1.0","qu3ca","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","","",""
"50692","32","text","2","99504","0.0-2.0","qu3ca","","","",""
"32867","32","text","3","133372","0.0-3.0","qu3ca","","","",""
"20344","32","text","4","154717","0.0-4.0","qu3ca","","","",""
"73494","32","text","5","229212","0.0-5.0","qu3ca","","","",""
"14919","32","text","6","245132","0.0-6.0","qu3ca","","","",""
"27018","32","text","7","273151","0.0-7.0","qu3ca","","","",""
"38327","32","text","8","312479","0.0-8.0","qu3ca","","","",""
"17429","74","single-stim","9","330912","0.0-9.0","qu3ca","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2","74","true"
"43619","70","single-stim","10","375535","0.0-10.0","qu3ca","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1","70","true"
"19879","74","single-stim","11","396415","0.0-11.0","qu3ca","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1","74","true"
"41220","74","single-stim","12","438636","0.0-12.0","qu3ca","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2","74","true"
"20600","70","single-stim","13","460239","0.0-13.0","qu3ca","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target","",""
"-1","-1","single-stim","14","461247","0.0-14.0","qu3ca"," ","","",""
