"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","label","correctAnswer","correct"
"269357","32","text","0","269599","0.0-0.0","PwuvL","","","",""
"23618","74","single-stim","1","294229","0.0-1.0","PwuvL","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","","",""
"3693","32","text","2","298930","0.0-2.0","PwuvL","","","",""
"7169","32","text","3","307100","0.0-3.0","PwuvL","","","",""
"5516","32","text","4","313617","0.0-4.0","PwuvL","","","",""
"6797","32","text","5","321417","0.0-5.0","PwuvL","","","",""
"4452","32","text","6","326884","0.0-6.0","PwuvL","","","",""
"6215","32","text","7","334101","0.0-7.0","PwuvL","","","",""
"3747","32","text","8","338850","0.0-8.0","PwuvL","","","",""
"10261","70","single-stim","9","350118","0.0-9.0","PwuvL","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2","74","false"
"5655","74","single-stim","10","356778","0.0-10.0","PwuvL","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2","74","true"
"5346","70","single-stim","11","363140","0.0-11.0","PwuvL","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1","74","false"
"5940","74","single-stim","12","370085","0.0-12.0","PwuvL","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1","70","false"
"6510","74","single-stim","13","377598","0.0-13.0","PwuvL","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target","",""
"-1","-1","single-stim","14","378603","0.0-14.0","PwuvL"," ","","",""
